sigungu_full,victim_house_cnt,year,period_note,sido_short,sigungu
서울시 송파구,19,2025,2025년(~25.3.),서울시,송파구
서울시 양천구,34,2025,2025년(~25.3.),서울시,양천구
서울시 영등포구,31,2025,2025년(~25.3.),서울시,영등포구
서울시 은평구,35,2025,2025년(~25.3.),서울시,은평구
서울시 종로구,5,2025,2025년(~25.3.),서울시,종로구
서울시 중구,14,2025,2025년(~25.3.),서울시,중구
서울시 중랑구,26,2025,2025년(~25.3.),서울시,중랑구
성남시 분당구,3,2025,2025년(~25.3.),성남시,분당구
성남시 수정구,3,2025,2025년(~25.3.),성남시,수정구
성남시 중원구,15,2025,2025년(~25.3.),성남시,중원구
세종시,33,2025,2025년(~25.3.),세종시,
수원시 권선구,15,2025,2025년(~25.3.),수원시,권선구
수원시 영통구,9,2025,2025년(~25.3.),수원시,영통구
수원시 장안구,6,2025,2025년(~25.3.),수원시,장안구
수원시 팔달구,16,2025,2025년(~25.3.),수원시,팔달구
안산시 단원구,10,2025,2025년(~25.3.),안산시,단원구
안산시 상록구,21,2025,2025년(~25.3.),안산시,상록구
안양시 동안구,2,2025,2025년(~25.3.),안양시,동안구
안양시 만안구,15,2025,2025년(~25.3.),안양시,만안구
용인시 기흥구,15,2025,2025년(~25.3.),용인시,기흥구
용인시 수지구,10,2025,2025년(~25.3.),용인시,수지구
용인시 처인구,14,2025,2025년(~25.3.),용인시,처인구
울산시 남구,10,2025,2025년(~25.3.),울산시,남구
울산시 중구,4,2025,2025년(~25.3.),울산시,중구
인천시 강화군,2,2025,2025년(~25.3.),인천시,강화군
인천시 계양구,22,2025,2025년(~25.3.),인천시,계양구
인천시 남동구,38,2025,2025년(~25.3.),인천시,남동구
인천시 동구,1,2025,2025년(~25.3.),인천시,동구
인천시 미추홀구,63,2025,2025년(~25.3.),인천시,미추홀구
인천시 부평구,53,2025,2025년(~25.3.),인천시,부평구
인천시 서구,29,2025,2025년(~25.3.),인천시,서구
인천시 연수구,7,2025,2025년(~25.3.),인천시,연수구
인천시 중구,1,2025,2025년(~25.3.),인천시,중구
전남 곡성군,1,2025,2025년(~25.3.),전남,곡성군
전남 광양시,38,2025,2025년(~25.3.),전남,광양시
전남 나주시,14,2025,2025년(~25.3.),전남,나주시
전남 무안군,2,2025,2025년(~25.3.),전남,무안군
전남 순천시,25,2025,2025년(~25.3.),전남,순천시
전남 장성군,1,2025,2025년(~25.3.),전남,장성군
전남 화순군,1,2025,2025년(~25.3.),전남,화순군
전북 군산시,1,2025,2025년(~25.3.),전북,군산시
전북 완주군,2,2025,2025년(~25.3.),전북,완주군
전북 익산시,4,2025,2025년(~25.3.),전북,익산시
